"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,0244040056150366;55,1581261908139;55,1581261908139
"facteur 2";0,00944698705957668;21,3521547476638;76,5102809384777
"facteur 3";0,00221234893701584;5,00036853666533;81,510649475143
"facteur 4";0,00193794625011102;4,38016141697557;85,8908108921186
"facteur 5";0,00101564812324753;2,29557590795804;88,1863868000766
"facteur 6";0,000747169032796296;1,68875734774677;89,8751441478234
"facteur 7";0,000669195501565929;1,51252095676275;91,3876651045861
"facteur 8";0,00058468283641755;1,32150476366271;92,7091698682488
"facteur 9";0,000501602283771325;1,13372544254833;93,8428953107972
"facteur 10";0,000429569231552312;0,970915769133168;94,8138110799303
"facteur 11";0,000422295215866875;0,954474981443624;95,768286061374
"facteur 12";0,000354675588109922;0,801640564847038;96,569926626221
"facteur 13";0,000247335947329948;0,559030661177356;97,1289572873984
"facteur 14";0,000203168453551237;0,459202942981902;97,5881602303803
"facteur 15";0,000172468386934161;0,389814409999116;97,9779746403794
"facteur 16";0,000170607208956437;0,385607760837569;98,3635824012169
"facteur 17";0,000144526691746785;0,326660369902479;98,6902427711194
"facteur 18";0,000124701119582001;0,281850455148304;98,9720932262677
"facteur 19";0,000109269069979678;0,246970814782076;99,2190640410498
"facteur 20";9,75397055734911e-05;0,220460012733422;99,4395240537832
"facteur 21";7,17417354416549e-05;0,162151236934669;99,6016752907179
"facteur 22";6,72622676798447e-05;0,152026708528506;99,7537019992464
"facteur 23";4,95315493961103e-05;0,111951599057731;99,8656535983041
"facteur 24";4,57752604843206e-05;0,103461605198772;99,9691152035029
"facteur 25";1,36645821601473e-05;0,030884796497086;100
